Lx;Ly;Lz
31.5971;-11262;-1753.14
31.598;-11262;-1753.13
31.6001;-11261.8;-1753.12
31.6084;-11261.3;-1753.08
31.6185;-11260.6;-1753.04
31.6236;-11260.3;-1753.01
31.6252;-11260.2;-1753
31.6261;-11260.1;-1753
31.627;-11260.1;-1753
31.6279;-11260;-1752.99
31.6289;-11260;-1752.99
31.6298;-11259.9;-1752.98
31.6306;-11259.8;-1752.98
31.6314;-11259.8;-1752.98
31.6327;-11259.7;-1752.97
31.6374;-11259.4;-1752.95
31.6485;-11258.7;-1752.9
31.6562;-11258.2;-1752.86
31.6588;-11258;-1752.85
31.6599;-11257.9;-1752.84
31.6608;-11257.9;-1752.84
31.6617;-11257.8;-1752.83
31.6626;-11257.8;-1752.83
31.6636;-11257.7;-1752.83
31.6644;-11257.6;-1752.82
31.6652;-11257.6;-1752.82
31.6662;-11257.5;-1752.81
31.6686;-11257.4;-1752.8
31.6778;-11256.8;-1752.76
31.6875;-11256.1;-1752.71
31.6919;-11255.8;-1752.69
31.6934;-11255.7;-1752.69
31.6943;-11255.7;-1752.68
31.6952;-11255.6;-1752.68
31.6961;-11255.6;-1752.67
31.6971;-11255.5;-1752.67
31.6979;-11255.4;-1752.66
31.6988;-11255.4;-1752.66
31.6996;-11255.3;-1752.66
31.701;-11255.2;-1752.65
31.7065;-11254.9;-1752.62
31.7175;-11254.2;-1752.57
31.7246;-11253.7;-1752.54
31.7269;-11253.6;-1752.53
31.728;-11253.5;-1752.52
31.7289;-11253.4;-1752.52
31.7298;-11253.4;-1752.52
31.7307;-11253.3;-1752.51
31.7316;-11253.3;-1752.51
31.7325;-11253.2;-1752.5
31.7332;-11253.1;-1752.5
31.7343;-11253.1;-1752.49
31.7371;-11252.9;-1752.48
31.747;-11252.3;-1752.43
31.7563;-11251.6;-1752.39
31.7602;-11251.4;-1752.37
31.7616;-11251.3;-1752.37
31.7625;-11251.2;-1752.36
31.7634;-11251.2;-1752.36
31.7643;-11251.1;-1752.35
31.7652;-11251.1;-1752.35
31.7661;-11251;-1752.35
31.7669;-11251;-1752.34
31.7677;-11250.9;-1752.34
31.7694;-11250.8;-1752.33
31.7756;-11250.4;-1752.3
31.7864;-11249.7;-1752.25
31.7929;-11249.3;-1752.22
31.795;-11249.1;-1752.21
31.796;-11249.1;-1752.21
31.7969;-11249;-1752.2
31.7978;-11248.9;-1752.2
31.7987;-11248.9;-1752.19
31.7996;-11248.8;-1752.19
31.8004;-11248.8;-1752.19
31.8012;-11248.7;-1752.18
31.8023;-11248.6;-1752.18
31.8056;-11248.4;-1752.16
31.816;-11247.8;-1752.11
31.8249;-11247.2;-1752.07
31.8284;-11246.9;-1752.05
31.8296;-11246.9;-1752.05
31.8305;-11246.8;-1752.04
31.8314;-11246.8;-1752.04
31.8323;-11246.7;-1752.04
31.8332;-11246.6;-1752.03
31.8341;-11246.6;-1752.03
31.8349;-11246.5;-1752.02
31.8358;-11246.5;-1752.02
31.8376;-11246.3;-1752.01
31.8446;-11245.9;-1751.98
31.8551;-11245.2;-1751.93
31.861;-11244.8;-1751.9
31.8629;-11244.7;-1751.89
31.8638;-11244.6;-1751.89
31.8647;-11244.6;-1751.88
31.8656;-11244.5;-1751.88
31.8665;-11244.5;-1751.88
31.8674;-11244.4;-1751.87
31.8683;-11244.3;-1751.87
31.8691;-11244.3;-1751.86
31.8702;-11244.2;-1751.86
31.874;-11244;-1751.84
31.8847;-11243.3;-1751.79
31.8932;-11242.7;-1751.75
31.8962;-11242.5;-1751.74
31.8974;-11242.4;-1751.73
31.8983;-11242.4;-1751.73
31.8992;-11242.3;-1751.72
31.9001;-11242.3;-1751.72
31.901;-11242.2;-1751.71
31.9019;-11242.1;-1751.71
31.9027;-11242.1;-1751.71
31.9036;-11242;-1751.7
31.9056;-11241.9;-1751.69
31.9134;-11241.4;-1751.66
31.9236;-11240.7;-1751.61
31.9289;-11240.4;-1751.58
31.9306;-11240.3;-1751.58
31.9315;-11240.2;-1751.57
31.9324;-11240.2;-1751.57
31.9333;-11240.1;-1751.56
31.9342;-11240;-1751.56
31.9351;-11240;-1751.55
31.9359;-11239.9;-1751.55
31.9367;-11239.9;-1751.55
31.938;-11239.8;-1751.54
31.9423;-11239.5;-1751.52
31.9532;-11238.8;-1751.47
31.9612;-11238.3;-1751.43
31.9639;-11238.1;-1751.42
31.965;-11238;-1751.41
31.9659;-11238;-1751.41
31.9668;-11237.9;-1751.41
31.9677;-11237.9;-1751.4
31.9686;-11237.8;-1751.4
31.9695;-11237.7;-1751.39
31.9703;-11237.7;-1751.39
31.9712;-11237.6;-1751.39
31.9735;-11237.5;-1751.37
31.982;-11236.9;-1751.33
31.9918;-11236.3;-1751.29
31.9966;-11236;-1751.27
31.9982;-11235.9;-1751.26
31.9991;-11235.8;-1751.25
32;-11235.7;-1751.25
32.0009;-11235.7;-1751.25
32.0018;-11235.6;-1751.24
32.0027;-11235.6;-1751.24
32.0035;-11235.5;-1751.23
32.0043;-11235.5;-1751.23
32.0057;-11235.4;-1751.22
32.0105;-11235.1;-1751.2
32.0215;-11234.3;-1751.15
32.029;-11233.9;-1751.11
32.0315;-11233.7;-1751.1
32.0325;-11233.6;-1751.1
32.0334;-11233.6;-1751.09
32.0343;-11233.5;-1751.09
32.0352;-11233.4;-1751.09
32.0361;-11233.4;-1751.08
32.037;-11233.3;-1751.08
32.0378;-11233.3;-1751.07
32.0387;-11233.2;-1751.07
32.0413;-11233.1;-1751.06
32.0505;-11232.5;-1751.01
32.06;-11231.8;-1750.97
32.0643;-11231.6;-1750.95
32.0657;-11231.5;-1750.94
32.0666;-11231.4;-1750.94
32.0675;-11231.3;-1750.93
32.0684;-11231.3;-1750.93
32.0694;-11231.2;-1750.93
32.0702;-11231.2;-1750.92
32.071;-11231.1;-1750.92
32.0719;-11231.1;-1750.91
32.0733;-11231;-1750.91
32.0788;-11230.6;-1750.88
32.0897;-11229.9;-1750.83
32.0967;-11229.4;-1750.8
32.0989;-11229.3;-1750.79
32.1;-11229.2;-1750.78
32.1008;-11229.2;-1750.78
32.1017;-11229.1;-1750.77
32.1027;-11229;-1750.77
32.1036;-11229;-1750.76
32.1044;-11228.9;-1750.76
32.1052;-11228.9;-1750.76
32.1062;-11228.8;-1750.75
32.1091;-11228.6;-1750.74
32.1188;-11228;-1750.69
32.128;-11227.4;-1750.65
32.1319;-11227.1;-1750.63
32.1332;-11227.1;-1750.63
32.1341;-11227;-1750.62
32.135;-11226.9;-1750.62
32.1359;-11226.9;-1750.61
32.1368;-11226.8;-1750.61
32.1377;-11226.8;-1750.6
32.1385;-11226.7;-1750.6
32.1393;-11226.7;-1750.6
32.141;-11226.6;-1750.59
32.1471;-11226.2;-1750.56
32.1578;-11225.5;-1750.51
32.1642;-11225;-1750.48
32.1663;-11224.9;-1750.47
32.1673;-11224.8;-1750.47
32.1682;-11224.8;-1750.46
32.1691;-11224.7;-1750.46
32.17;-11224.7;-1750.45
32.1709;-11224.6;-1750.45
32.1717;-11224.5;-1750.45
32.1725;-11224.5;-1750.44
32.1736;-11224.4;-1750.44
32.1768;-11224.2;-1750.42
32.1869;-11223.6;-1750.37
32.1958;-11223;-1750.33
32.1993;-11222.7;-1750.32
32.2006;-11222.7;-1750.31
32.2014;-11222.6;-1750.31
32.2023;-11222.5;-1750.3
32.2032;-11222.5;-1750.3
32.2042;-11222.4;-1750.29
32.205;-11222.4;-1750.29
32.2058;-11222.3;-1750.29
32.2067;-11222.3;-1750.28
32.2084;-11222.1;-1750.27
32.2151;-11221.7;-1750.24
32.2256;-11221;-1750.19
32.2316;-11220.6;-1750.16
32.2335;-11220.5;-1750.16
32.2344;-11220.4;-1750.15
32.2353;-11220.4;-1750.15
32.2362;-11220.3;-1750.14
32.2371;-11220.3;-1750.14
32.238;-11220.2;-1750.13
32.2388;-11220.2;-1750.13
32.2396;-11220.1;-1750.13
32.2407;-11220;-1750.12
32.2443;-11219.8;-1750.1
32.2548;-11219.1;-1750.06
32.2633;-11218.6;-1750.02
32.2665;-11218.4;-1750
32.2677;-11218.3;-1750
32.2686;-11218.2;-1749.99
32.2694;-11218.2;-1749.99
32.2703;-11218.1;-1749.98
32.2713;-11218;-1749.98
32.2721;-11218;-1749.97
32.2729;-11217.9;-1749.97
32.2738;-11217.9;-1749.97
32.2757;-11217.8;-1749.96
32.283;-11217.3;-1749.92
32.2932;-11216.6;-1749.88
32.2987;-11216.2;-1749.85
32.3005;-11216.1;-1749.84
32.3014;-11216.1;-1749.84
32.3023;-11216;-1749.83
32.3032;-11216;-1749.83
32.3041;-11215.9;-1749.82
32.305;-11215.8;-1749.82
32.3058;-11215.8;-1749.82
32.3066;-11215.7;-1749.81
32.3078;-11215.7;-1749.81
32.3117;-11215.4;-1749.79
32.3224;-11214.7;-1749.74
32.3305;-11214.2;-1749.7
32.3335;-11214;-1749.69
32.3346;-11213.9;-1749.68
32.3355;-11213.8;-1749.68
32.3364;-11213.8;-1749.67
32.3373;-11213.7;-1749.67
32.3382;-11213.7;-1749.66
32.3391;-11213.6;-1749.66
32.3399;-11213.6;-1749.66
32.3407;-11213.5;-1749.65
32.3428;-11213.4;-1749.64
32.3507;-11212.9;-1749.6
32.3606;-11212.2;-1749.56
32.3658;-11211.9;-1749.53
32.3674;-11211.8;-1749.53
32.3683;-11211.7;-1749.52
32.3692;-11211.6;-1749.52
32.3701;-11211.6;-1749.51
32.371;-11211.5;-1749.51
32.3719;-11211.5;-1749.51
32.3727;-11211.4;-1749.5
32.3735;-11211.4;-1749.5
32.3748;-11211.3;-1749.49
32.3791;-11211;-1749.47
32.3899;-11210.3;-1749.42
32.3977;-11209.8;-1749.38
32.4004;-11209.6;-1749.37
32.4015;-11209.5;-1749.37
32.4024;-11209.5;-1749.36
32.4033;-11209.4;-1749.36
32.4042;-11209.4;-1749.35
32.4051;-11209.3;-1749.35
32.406;-11209.2;-1749.35
32.4067;-11209.2;-1749.34
32.4077;-11209.1;-1749.34
32.4099;-11209;-1749.33
32.4184;-11208.4;-1749.29
32.428;-11207.8;-1749.24
32.4328;-11207.5;-1749.22
32.4343;-11207.4;-1749.21
32.4353;-11207.3;-1749.21
32.4361;-11207.3;-1749.2
32.437;-11207.2;-1749.2
32.4379;-11207.2;-1749.2
32.4388;-11207.1;-1749.19
32.4396;-11207;-1749.19
32.4404;-11207;-1749.18
32.4418;-11206.9;-1749.18
32.4465;-11206.6;-1749.16
32.4573;-11205.9;-1749.1
32.4648;-11205.4;-1749.07
32.4673;-11205.2;-1749.06
32.4684;-11205.2;-1749.05
32.4692;-11205.1;-1749.05
32.4701;-11205.1;-1749.04
32.471;-11205;-1749.04
32.4719;-11204.9;-1749.04
32.4728;-11204.9;-1749.03
32.4735;-11204.8;-1749.03
32.4745;-11204.8;-1749.02
32.477;-11204.6;-1749.01
32.4859;-11204;-1748.97
32.4953;-11203.4;-1748.93
32.4997;-11203.1;-1748.91
32.5011;-11203;-1748.9
32.502;-11203;-1748.89
32.5029;-11202.9;-1748.89
32.5038;-11202.9;-1748.89
32.5047;-11202.8;-1748.88
32.5056;-11202.7;-1748.88
32.5064;-11202.7;-1748.87
32.5072;-11202.6;-1748.87
32.5086;-11202.5;-1748.86
32.5138;-11202.2;-1748.84
32.5245;-11201.5;-1748.79
32.5316;-11201;-1748.76
32.5339;-11200.9;-1748.74
32.535;-11200.8;-1748.74
32.5359;-11200.8;-1748.74
32.5367;-11200.7;-1748.73
32.5376;-11200.6;-1748.73
32.5385;-11200.6;-1748.72
32.5394;-11200.5;-1748.72
32.5402;-11200.5;-1748.72
32.5411;-11200.4;-1748.71
32.5438;-11200.2;-1748.7
32.5531;-11199.6;-1748.65
32.5622;-11199;-1748.61
32.5663;-11198.8;-1748.59
32.5677;-11198.7;-1748.59
32.5686;-11198.6;-1748.58
32.5695;-11198.6;-1748.58
32.5704;-11198.5;-1748.57
32.5713;-11198.4;-1748.57
32.5722;-11198.4;-1748.56
32.573;-11198.3;-1748.56
32.5738;-11198.3;-1748.56
32.5753;-11198.2;-1748.55
32.5809;-11197.8;-1748.52
32.5915;-11197.1;-1748.47
32.5982;-11196.7;-1748.44
32.6004;-11196.5;-1748.43
32.6014;-11196.5;-1748.43
32.6023;-11196.4;-1748.42
32.6032;-11196.4;-1748.42
32.6041;-11196.3;-1748.41
32.605;-11196.2;-1748.41
32.6058;-11196.2;-1748.41
32.6066;-11196.1;-1748.4
32.6076;-11196.1;-1748.4
32.6105;-11195.9;-1748.38
32.6201;-11195.3;-1748.34
32.629;-11194.7;-1748.3
32.6328;-11194.4;-1748.28
32.6342;-11194.3;-1748.27
32.635;-11194.3;-1748.27
32.6359;-11194.2;-1748.26
32.6368;-11194.2;-1748.26
32.6377;-11194.1;-1748.26
32.6386;-11194;-1748.25
32.6394;-11194;-1748.25
32.6402;-11193.9;-1748.24
32.6418;-11193.8;-1748.24
32.6478;-11193.4;-1748.21
32.6583;-11192.8;-1748.16
32.6647;-11192.3;-1748.13
32.6667;-11192.2;-1748.12
32.6677;-11192.1;-1748.11
32.6686;-11192.1;-1748.11
32.6695;-11192;-1748.11
32.6704;-11192;-1748.1
32.6713;-11191.9;-1748.1
32.6721;-11191.9;-1748.09
32.6729;-11191.8;-1748.09
32.6739;-11191.7;-1748.09
32.677;-11191.5;-1748.07
32.6869;-11190.9;-1748.02
32.6957;-11190.3;-1747.98
32.6992;-11190.1;-1747.97
32.7005;-11190;-1747.96
32.7014;-11189.9;-1747.96
32.7023;-11189.9;-1747.95
32.7032;-11189.8;-1747.95
32.7041;-11189.8;-1747.94
32.7049;-11189.7;-1747.94
32.7057;-11189.7;-1747.94
32.7066;-11189.6;-1747.93
32.7082;-11189.5;-1747.92
32.7146;-11189.1;-1747.89
32.725;-11188.4;-1747.85
32.7311;-11188;-1747.82
32.7331;-11187.9;-1747.81
32.734;-11187.8;-1747.8
32.7349;-11187.8;-1747.8
32.7358;-11187.7;-1747.79
32.7367;-11187.6;-1747.79
32.7376;-11187.6;-1747.79
32.7384;-11187.5;-1747.78
32.7392;-11187.5;-1747.78
32.7403;-11187.4;-1747.77
32.7436;-11187.2;-1747.76
32.7537;-11186.5;-1747.71
32.7622;-11186;-1747.67
32.7656;-11185.7;-1747.65
32.7668;-11185.7;-1747.65
32.7677;-11185.6;-1747.64
32.7686;-11185.6;-1747.64
32.7695;-11185.5;-1747.64
32.7704;-11185.4;-1747.63
32.7713;-11185.4;-1747.63
32.772;-11185.3;-1747.62
32.7729;-11185.3;-1747.62
32.7747;-11185.2;-1747.61
32.7814;-11184.7;-1747.58
32.7916;-11184;-1747.53
32.7974;-11183.7;-1747.5
32.7993;-11183.5;-1747.5
32.8003;-11183.5;-1747.49
32.8011;-11183.4;-1747.49
32.802;-11183.4;-1747.48
32.8029;-11183.3;-1747.48
32.8038;-11183.3;-1747.47
32.8046;-11183.2;-1747.47
32.8054;-11183.1;-1747.47
32.8065;-11183.1;-1747.46
32.81;-11182.8;-1747.45
32.8203;-11182.2;-1747.4
32.8286;-11181.6;-1747.36
32.8318;-11181.4;-1747.34
32.833;-11181.3;-1747.34
32.8339;-11181.3;-1747.33
32.8348;-11181.2;-1747.33
32.8357;-11181.2;-1747.32
32.8366;-11181.1;-1747.32
32.8374;-11181.1;-1747.32
32.8382;-11181;-1747.31
32.839;-11180.9;-1747.31
32.8409;-11180.8;-1747.3
32.848;-11180.4;-1747.27
32.858;-11179.7;-1747.22
32.8636;-11179.3;-1747.19
32.8653;-11179.2;-1747.18
32.8663;-11179.2;-1747.18
32.8671;-11179.1;-1747.18
32.868;-11179.1;-1747.17
32.8689;-11179;-1747.17
32.8698;-11178.9;-1747.16
32.8706;-11178.9;-1747.16
32.8714;-11178.8;-1747.16
32.8725;-11178.8;-1747.15
32.8763;-11178.5;-1747.13
32.8866;-11177.8;-1747.08
32.8948;-11177.3;-1747.05
32.8978;-11177.1;-1747.03
32.899;-11177;-1747.03
32.8998;-11177;-1747.02
32.9007;-11176.9;-1747.02
32.9016;-11176.9;-1747.01
32.9025;-11176.8;-1747.01
32.9033;-11176.7;-1747
32.9041;-11176.7;-1747
32.905;-11176.6;-1747
32.9069;-11176.5;-1746.99
32.9143;-11176;-1746.95
32.9241;-11175.4;-1746.91
32.9295;-11175;-1746.88
32.9312;-11174.9;-1746.87
32.9321;-11174.9;-1746.87
32.933;-11174.8;-1746.87
32.9339;-11174.7;-1746.86
32.9348;-11174.7;-1746.86
32.9356;-11174.6;-1746.85
32.9365;-11174.6;-1746.85
32.9372;-11174.5;-1746.84
32.9384;-11174.4;-1746.84
32.9423;-11174.2;-1746.82
32.9528;-11173.5;-1746.77
32.9607;-11173;-1746.73
32.9636;-11172.8;-1746.72
32.9647;-11172.7;-1746.72
32.9656;-11172.7;-1746.71
32.9665;-11172.6;-1746.71
32.9674;-11172.5;-1746.7
32.9683;-11172.5;-1746.7
32.9691;-11172.4;-1746.69
32.9699;-11172.4;-1746.69
32.9708;-11172.3;-1746.69
32.9728;-11172.2;-1746.68
32.9805;-11171.7;-1746.64
32.9902;-11171.1;-1746.6
32.9953;-11170.7;-1746.57
32.9969;-11170.6;-1746.56
32.9979;-11170.6;-1746.56
32.9987;-11170.5;-1746.55
32.9996;-11170.4;-1746.55
33.0005;-11170.4;-1746.55
33.0014;-11170.3;-1746.54
33.0022;-11170.3;-1746.54
33.003;-11170.2;-1746.53
33.0042;-11170.1;-1746.53
33.0083;-11169.9;-1746.51
33.0188;-11169.2;-1746.46
33.0266;-11168.7;-1746.42
33.0293;-11168.5;-1746.41
33.0305;-11168.4;-1746.4
33.0313;-11168.4;-1746.4
33.0322;-11168.3;-1746.4
33.0331;-11168.2;-1746.39
33.034;-11168.2;-1746.39
33.0348;-11168.1;-1746.38
33.0356;-11168.1;-1746.38
33.0365;-11168;-1746.38
33.0386;-11167.9;-1746.37
33.0465;-11167.4;-1746.33
33.0561;-11166.7;-1746.28
33.0611;-11166.4;-1746.26
33.0627;-11166.3;-1746.25
33.0636;-11166.3;-1746.25
33.0645;-11166.2;-1746.24
33.0653;-11166.1;-1746.24
33.0663;-11166.1;-1746.24
33.0671;-11166;-1746.23
33.0679;-11166;-1746.23
33.0687;-11165.9;-1746.22
33.07;-11165.8;-1746.22
33.0743;-11165.6;-1746.2
33.0848;-11164.9;-1746.15
33.0924;-11164.4;-1746.11
33.0951;-11164.2;-1746.1
33.0962;-11164.1;-1746.1
33.097;-11164.1;-1746.09
33.0979;-11164;-1746.09
33.0988;-11164;-1746.08
33.0997;-11163.9;-1746.08
33.1005;-11163.8;-1746.07
33.1013;-11163.8;-1746.07
33.1022;-11163.7;-1746.07
33.1044;-11163.6;-1746.06
33.1125;-11163.1;-1746.02
33.122;-11162.4;-1745.97
33.1268;-11162.1;-1745.95
33.1283;-11162;-1745.94
33.1292;-11162;-1745.94
33.1301;-11161.9;-1745.93
33.131;-11161.8;-1745.93
33.1319;-11161.8;-1745.93
33.1328;-11161.7;-1745.92
33.1336;-11161.7;-1745.92
33.1343;-11161.6;-1745.91
33.1356;-11161.5;-1745.91
33.1401;-11161.3;-1745.89
33.1506;-11160.6;-1745.84
33.158;-11160.1;-1745.8
33.1606;-11159.9;-1745.79
33.1617;-11159.8;-1745.79
33.1626;-11159.8;-1745.78
33.1634;-11159.7;-1745.78
33.1643;-11159.7;-1745.77
33.1652;-11159.6;-1745.77
33.1661;-11159.6;-1745.77
33.1668;-11159.5;-1745.76
33.1677;-11159.4;-1745.76
33.17;-11159.3;-1745.75
33.1783;-11158.8;-1745.71
33.1876;-11158.1;-1745.66
33.1922;-11157.8;-1745.64
33.1938;-11157.7;-1745.63
33.1947;-11157.7;-1745.63
33.1955;-11157.6;-1745.63
33.1964;-11157.6;-1745.62
33.1973;-11157.5;-1745.62
33.1982;-11157.4;-1745.61
33.199;-11157.4;-1745.61
33.1998;-11157.3;-1745.61
33.2011;-11157.3;-1745.6
33.2057;-11157;-1745.58
33.2161;-11156.3;-1745.53
33.2234;-11155.8;-1745.49
33.2259;-11155.6;-1745.48
33.227;-11155.6;-1745.48
33.2279;-11155.5;-1745.47
33.2287;-11155.4;-1745.47
33.2296;-11155.4;-1745.46
33.2305;-11155.3;-1745.46
33.2314;-11155.3;-1745.46
33.2321;-11155.2;-1745.45
33.233;-11155.2;-1745.45
33.2354;-11155;-1745.44
33.2438;-11154.5;-1745.4
33.253;-11153.9;-1745.35
33.2575;-11153.6;-1745.33
33.259;-11153.5;-1745.33
33.2599;-11153.4;-1745.32
33.2608;-11153.3;-1745.32
33.2616;-11153.3;-1745.31
33.2625;-11153.2;-1745.31
33.2634;-11153.2;-1745.3
33.2642;-11153.1;-1745.3
33.265;-11153.1;-1745.3
33.2663;-11153;-1745.29
